POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
1,Chris Gayle RCB,608,12,12,3,107,67.55,332,183.13,2,3,57,44
2,Virat Kohli RCB,557,16,16,4,71,46.41,460,121.08,0,4,55,16
3,Sachin Tendulkar MI,553,16,16,3,100*,42.53,488,113.31,1,2,67,5
4,Shaun Marsh PBKS,504,14,13,1,95,42.00,344,146.51,0,4,52,20
5,Michael Hussey CSK,492,14,14,2,83*,41.00,414,118.84,0,4,53,6
6,Paul Valthaty PBKS,463,14,14,1,120*,35.61,338,136.98,1,2,56,20
7,Suresh Raina CSK,438,16,16,2,73*,31.28,325,134.76,0,4,36,17
8,Murali Vijay CSK,434,16,16,0,95,27.12,339,128.02,0,3,34,20
9,Virender Sehwag DC,424,11,11,0,119,38.54,240,176.66,1,2,51,18
10,Jacques Kallis KKR,424,15,14,2,80*,35.33,378,112.16,0,4,46,6
11,Shikhar Dhawan DEC,400,14,14,2,95*,33.33,310,129.03,0,2,47,7
12,Subramaniam Badrinath CSK,396,16,13,6,71*,56.57,313,126.51,0,5,38,9
13,Ambati Rayudu MI,395,16,16,2,63*,28.21,350,112.85,0,4,44,9
14,MS Dhoni CSK,392,16,13,4,70*,43.55,247,158.70,0,2,25,23
15,Adam Gilchrist PBKS,383,14,14,0,106,27.35,295,129.83,1,2,41,18
16,Gautam Gambhir KKR,378,15,15,4,75*,34.36,317,119.24,0,2,44,3
17,Rohit Sharma MI,372,16,14,3,87,33.81,297,125.25,0,3,32,13
18,Manoj Tiwary KKR,359,15,14,7,61*,51.28,325,110.46,0,1,26,14
19,Kumar Sangakkara DEC,358,13,13,0,65,27.53,293,122.18,0,1,44,5
20,Brendon McCullum KTK,357,13,13,0,81,27.46,275,129.81,0,1,35,16
21,Rahul Dravid RR,343,12,12,1,66,31.18,314,109.23,0,1,45,2
22,Yuvraj Singh PWI,343,14,13,3,66*,34.30,261,131.41,0,2,24,18
23,Venugopal Rao DC,336,14,14,2,60,28.00,280,120.00,0,1,30,13
24,Shane Watson RR,330,11,11,1,89*,33.00,253,130.43,0,1,31,17
25,David Warner DC,324,13,13,0,77,24.92,276,117.39,0,3,34,11
26,AB de Villiers RCB,312,16,13,4,65,34.66,243,128.39,0,2,21,14
27,Mahela Jayawardena KTK,299,13,13,0,76,23.00,257,116.34,0,3,35,5
28,Jesse Ryder PWI,292,13,13,0,60,22.46,197,148.22,0,2,37,11
29,Brad Hodge KTK,285,14,14,6,51*,35.62,236,120.76,0,1,26,9
30,Ravindra Jadeja KTK,283,14,12,3,47,31.44,228,124.12,0,0,20,14
31,Yusuf Pathan KKR,283,15,11,1,47*,28.30,201,140.79,0,0,24,13
32,Dinesh Karthik PBKS,282,14,13,2,69,25.63,220,128.18,0,1,32,7
33,Robin Uthappa PWI,264,14,13,3,45,26.40,209,126.31,0,0,27,10
34,Sunny Sohal DEC,249,11,10,0,62,24.90,191,130.36,0,2,25,10
35,Manish Pandey PWI,246,10,9,0,59,27.33,227,108.37,0,1,28,6
36,Johan Botha RR,230,10,9,4,67*,46.00,198,116.16,0,1,20,2
37,Tillakaratne Dilshan RCB,226,10,10,2,59*,28.25,180,125.55,0,2,33,3
38,Bharat Chipli DEC,207,14,13,5,61*,25.87,170,121.76,0,1,21,4
39,JP Duminy DEC,205,10,10,0,55,20.50,174,117.81,0,1,9,8
40,Parthiv Patel KTK,202,14,13,3,37*,20.20,183,110.38,0,0,25,2
41,James Hopes DC,196,10,8,3,55,39.20,158,124.05,0,2,22,3
42,Dan Christian DEC,190,14,13,2,30,17.27,159,119.49,0,0,9,7
43,Saurabh Tiwary RCB,187,16,13,5,42*,23.37,188,99.46,0,0,13,5
44,Dwaraka Ravi Teja DEC,183,12,9,2,60,26.14,144,127.08,0,1,17,4
45,Ross Taylor RR,181,12,11,6,47*,36.20,152,119.07,0,0,11,7
46,Ashok Menaria RR,180,13,10,1,34,20.00,152,118.42,0,0,10,10
47,Naman Ojha DC,160,14,14,1,29,12.30,161,99.37,0,0,11,11
48,Irfan Pathan DC,150,14,12,4,44*,18.75,138,108.69,0,0,12,6
49,Kieron Pollard MI,146,16,13,3,28,14.60,133,109.77,0,0,12,6
50,Mayank Agarwal RCB,141,8,7,0,41,20.14,120,117.50,0,0,16,4
51,Albie Morkel CSK,138,15,13,7,30*,23.00,102,135.29,0,0,8,8
52,Eoin Morgan KKR,137,12,9,0,66,15.22,117,117.09,0,1,17,3
53,Andrew Symonds MI,135,11,9,5,44*,33.75,138,97.82,0,0,9,3
54,Aiden Blizzard MI,120,6,6,0,51,20.00,87,137.93,0,1,21,2
55,Ajinkya Rahane RR,120,10,7,1,52,20.00,98,122.44,0,1,12,2
56,Mithun Manhas PWI,114,10,10,0,35,11.40,123,92.68,0,0,8,4
57,Yogesh Nagar DC,111,11,10,3,23,15.85,100,111.00,0,0,6,6
58,Ryan ten Doeschate KKR,107,6,3,1,70*,53.50,73,146.57,0,1,9,5
59,James Franklin MI,107,8,5,3,45*,53.50,78,137.17,0,0,10,2
60,Cameron White DEC,104,6,6,2,31*,26.00,109,95.41,0,0,6,2
61,Harbhajan Singh MI,103,15,8,5,30,34.33,71,145.07,0,0,9,6
62,Davy Jacobs MI,92,6,6,0,32,15.33,88,104.54,0,0,10,4
63,Ryan McLaren PBKS,90,6,4,1,51*,30.00,96,93.75,0,1,7,1
64,Srikkanth Anirudha CSK,83,9,5,1,64,20.75,74,112.16,0,1,6,3
65,Travis Birt DC,75,5,5,0,27,15.00,58,129.31,0,0,9,2
66,Michael Klinger KTK,73,4,4,0,29,18.25,77,94.80,0,0,9,0
